bin valid fake clones missed
78.7 0 11 0 0
78.8 0 9 0 0
78.9 0 9 1 0
79 2 3 0 0
79.1 0 13 1 0
79.2 0 7 0 0
79.3 0 10 1 0
79.4 0 3 0 0
79.5 2 10 0 0
79.6 2 9 0 0
79.7 1 9 0 0
79.8 0 21 0 0
79.9 0 3 0 0
80 0 9 0 0
80.1 0 10 0 0
80.2 1 11 0 0
80.3 0 6 1 0
80.4 0 9 0 0
80.5 0 10 0 0
80.6 0 5 0 0
80.7 0 4 0 0
80.8 0 12 0 0
80.9 0 5 0 0
81 0 7 0 0
81.1 1 17 2 0
81.2 0 10 0 0
81.3 0 11 0 0
81.4 0 7 0 0
81.5 0 12 1 0
81.6 1 7 0 0
81.7 1 20 2 0
81.8 1 14 0 0
81.9 1 10 0 0
82 1 9 0 0
82.1 2 10 1 0
82.2 1 2 0 0
82.3 0 6 0 0
82.4 0 3 0 0
82.5 1 9 2 0
82.6 1 10 0 0
82.7 1 12 1 0
82.8 0 11 0 0
82.9 0 7 0 0
83 1 11 0 0
83.1 0 8 0 0
83.2 0 15 2 0
83.3 0 7 0 0
83.4 0 6 0 0
83.5 0 18 0 0
83.6 0 7 0 0
83.7 0 6 0 0
83.8 0 6 0 0
83.9 1 5 0 0
84 0 11 0 0
84.1 0 6 0 0
84.2 1 7 0 0
84.3 0 11 0 0
84.4 0 6 0 0
84.5 0 10 0 0
84.6 0 17 0 0
84.7 1 16 0 0
84.8 0 10 0 0
84.9 0 14 0 0
85 0 10 0 0
85.1 0 6 0 0
85.2 0 8 0 0
85.3 1 8 0 0
85.4 0 5 0 0
85.5 0 4 0 0
85.6 0 11 0 0
85.7 0 5 0 0
85.8 0 4 0 0
85.9 0 4 0 0
86 1 5 0 0
86.2 1 7 0 0
86.3 0 11 0 0
86.4 0 16 0 0
86.5 1 6 0 0
86.6 0 9 0 0
86.7 0 10 1 0
86.8 0 10 0 0
86.9 1 5 0 1
87 0 9 0 0
87.1 0 3 0 0
87.2 0 6 0 0
87.3 0 4 0 0
87.4 0 5 0 0
87.5 2 12 1 0
87.6 1 7 0 0
87.7 0 9 0 0
87.8 0 2 0 0
87.9 0 7 0 0
88 0 4 0 0
88.1 0 3 0 0
88.2 0 4 0 0
88.3 0 7 0 0
88.4 0 6 1 0
88.5 0 7 0 0
88.6 0 10 0 0
88.7 0 8 0 0
88.8 1 3 2 0
88.9 0 8 0 0
89 1 8 0 0
89.1 0 12 0 0
89.2 0 4 0 0
89.3 0 10 1 0
89.4 1 18 0 0
89.5 0 3 0 0
89.6 0 11 0 0
89.7 1 5 0 0
89.8 0 6 0 0
89.9 0 7 1 0
90 0 3 0 0
90.1 0 2 0 0
90.2 0 7 0 0
90.3 1 8 0 0
90.4 0 10 0 0
90.5 0 7 0 0
90.6 0 10 0 0
90.7 0 8 0 0
90.8 0 2 0 1
90.9 0 2 0 0
91 1 9 1 0
91.1 0 7 0 0
91.2 0 7 0 0
91.3 0 10 0 0
91.4 0 8 0 0
91.5 0 3 0 0
91.6 0 9 0 0
91.7 0 11 0 0
91.8 0 9 0 0
91.9 0 14 0 0
92 0 6 1 0
92.1 0 6 0 0
92.2 0 7 1 0
92.3 0 14 1 0
92.4 1 6 1 0
92.5 0 8 0 0
92.6 1 16 1 0
92.7 0 6 0 0
92.8 0 4 0 0
92.9 0 4 0 0
93 0 14 0 0
93.1 0 7 0 0
93.2 0 13 0 0
93.3 1 5 0 2
93.4 0 5 0 0
93.5 0 4 1 0
